taxid	kingdom	phylum	class
2962568	Kin_Sar	Bacillariophyta	Bacillariophyceae
2578210	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
181587	Kin_Sar	Ciliophora	Oligohymenophorea
457357	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
743684	Kin_Sar	Phy_of_Bigyra	Bigyra
432300	Kin_Sar	Cercozoa	Imbricatea
1110533	Kin_Sar	Ciliophora	Litostomatea
240364	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
858351	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2174074	Kin_Sar	Bacillariophyta	Fragilariophyceae
418113	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2585090	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
1685977	Kin_Sar	Ciliophora	Armophorea
52241	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
1905160	Kin_Sar	Ciliophora	Karyorelictea
1622023	Kin_Sar	Apicomplexa	Conoidasida
1891239	Kin_Sar	Ciliophora	Spirotrichea
2006545	Kin_of_Filasterea	Phy_of_Filasterea	Filasterea
2126240	Kin_Sar	Bacillariophyta	Bacillariophyceae
67476	Kin_Sar	Bacillariophyta	Bacillariophyceae
696187	Kin_Sar	Ciliophora	Spirotrichea
2969	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1030620	Kin_Sar	Ciliophora	Colpodea
81824	Kin_of_Choanoflagellata	Phy_of_Choanoflagellata	Choanoflagellata
498005	Kin_Amoebozoa	Tubulinea	Elardia
1905170	Kin_Sar	Ciliophora	Karyorelictea
2304685	Kin_Sar	Ciliophora	Spirotrichea
1798043	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1003015	Kin_Sar	Bacillariophyta	Mediophyceae
2604063	Kin_Sar	Phy_of_Bigyra	Bigyra
216893	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2068723	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
76713	Kin_of_Rhodophyta	Rhodophyta	Bangiophyceae
1126592	Kin_Sar	Ciliophora	Oligohymenophorea
293275	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
259924	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
240383	Kin_Sar	Phy_PX clade	Xanthophyceae
124797	Kin_Sar	Ciliophora	Spirotrichea
1089216	Kin_Sar	Bacillariophyta	Bacillariophyceae
2841856	Kin_Sar	Ciliophora	Spirotrichea
2652864	Kin_Sar	Ciliophora	Oligohymenophorea
1881105	Kin_Sar	Bacillariophyta	Bacillariophyceae
426635	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1538785	Kin_Sar	Ciliophora	Colpodea
515478	Kin_Sar	Bacillariophyta	Fragilariophyceae
1234422	Kin_Sar	Ciliophora	Spirotrichea
5947	Kin_Sar	Ciliophora	Spirotrichea
2608607	Kin_Sar	Ciliophora	Oligohymenophorea
638345	Kin_Sar	Ciliophora	Colpodea
1955567	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
1960792	Kin_Sar	Bacillariophyta	Bacillariophyceae
164321	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1302830	Kin_Sar	Bacillariophyta	Bacillariophyceae
459333	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
885320	Kin_Sar	Endomyxa	Phytomyxea
35101	Kin_Sar	Ciliophora	Oligohymenophorea
644181	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
352448	Kin_Sar	Ciliophora	Nassophorea
136833	Kin_Sar	Phy_of_Bigyra	Bigyra
1034831	Kin_Sar	Phy_of_Dictyochophyceae	Dictyochophyceae
